"Date","Frequency"
"2019-07-02",21
"2019-07-03",81
"2019-07-04",66
"2019-07-05",19
"2019-07-06",29
"2019-07-07",38
"2019-07-08",34
"2019-07-09",0
"2019-07-10",8
"2019-07-11",17
"2019-07-12",45
"2019-07-13",0
"2019-07-14",8
"2019-07-15",37
