"latitude","longitude","date","CyFi_cells_ml"
29.5100254979671,-82.1311580181668,2019-07-02,283709.187497171
29.4621304603272,-82.1795791493249,2019-07-02,241317.823687853
28.6237266281187,-81.6261395680746,2019-07-02,603761.477816897
28.0774432826617,-81.3234173856523,2019-07-02,352034.640080662
27.9779046943683,-81.5232540583898,2019-07-02,904847.519127926
27.877797241957,-81.0919405616703,2019-07-02,299434.198646982
26.4226698478972,-81.4933453119557,2019-07-02,587694.193708415
27.7958069226913,-81.5123262885453,2019-07-02,769646.679445236
28.0673032235626,-81.931124763678,2019-07-02,436814.85576831
28.060965274634,-82.2775657832782,2019-07-02,1153456.97612107
28.0511345845852,-81.6533110440384,2019-07-02,513548.423083013
27.9712253632218,-81.8380089824864,2019-07-02,834513.56400065
27.9906331691402,-81.8376478307218,2019-07-02,413875.19654302
28.6765899023067,-81.6641106836588,2019-07-02,371546.69285986
28.609053352354,-81.6484098834918,2019-07-02,499881.886345736
28.6044744227335,-81.6056022865945,2019-07-02,587694.193708415
28.671418292054,-81.6007262850412,2019-07-02,486579.043114264
27.7397148305408,-81.505461338859,2019-07-02,361659.102324386
27.9742536263217,-81.8296191430444,2019-07-02,790688.459326986
28.6271351848571,-81.6760397842789,2019-07-02,542012.621758387
29.4691246494849,-82.1959364130055,2019-07-02,71690.1352957106
28.5403282552535,-80.583492740103,2019-07-03,620268.033950498
28.8957409981711,-81.8397769315006,2019-07-03,54741.8411391428
28.7278250109227,-81.2203586582501,2019-07-03,769646.679445236
29.4599532368457,-81.5008445291026,2019-07-03,75663.669557331
29.5100254979671,-82.1311580181668,2019-07-03,324670.926244608
29.4621304603272,-82.1795791493249,2019-07-03,316030.792341733
28.8388133166931,-81.2698731326973,2019-07-03,122953.076495864
29.0973644089416,-81.4238396741809,2019-07-03,39605.1260642671
28.9882942463132,-81.3462945004845,2019-07-03,392140.230698514
28.8466757747951,-81.7274141661126,2019-07-03,169944.611972288
29.3003878499413,-81.8653821625855,2019-07-03,110378.223509306
28.7854379049606,-81.6827647960079,2019-07-03,10851.2407744723
28.6237266281187,-81.6261395680746,2019-07-03,690932.14767879
28.2062711716083,-81.3808267471528,2019-07-03,46562.4045696293
28.0774432826617,-81.3234173856523,2019-07-03,769646.679445236
26.9456187017659,-80.8331578130505,2019-07-03,30242.0620405156
27.9779046943683,-81.5232540583898,2019-07-03,1319992.30664417
27.877797241957,-81.0919405616703,2019-07-03,749164.862840259
27.9113865446157,-81.2665105450388,2019-07-03,299434.198646982
25.2080496927184,-80.7757886484817,2019-07-03,1319992.30664417
25.193498292291,-80.72952893327,2019-07-03,381704.605491386
25.1688371917614,-80.959687378183,2019-07-03,436814.85576831
26.4226698478972,-81.4933453119557,2019-07-03,587694.193708415
27.7958069226913,-81.5123262885453,2019-07-03,1153456.97612107
27.7402899318058,-81.4960848675335,2019-07-03,672545.080062985
27.8937570117933,-81.3569074523797,2019-07-03,637225.871600731
28.0673032235626,-81.931124763678,2019-07-03,556830.993077016
28.0790564385853,-81.7982065948177,2019-07-03,228644.837484919
28.0997695665893,-81.7435972957896,2019-07-03,381704.605491386
28.0511345845852,-81.6533110440384,2019-07-03,729228.107784489
28.13805847513,-81.7803108324235,2019-07-03,110378.223509306
28.1062989296243,-81.7680134300449,2019-07-03,413875.19654302
28.023905584016,-81.74417067752,2019-07-03,371546.69285986
27.9712253632218,-81.8380089824864,2019-07-03,929585.626668079
27.1105742244374,-80.7756723167835,2019-07-03,37525.2332138031
27.055828637896,-80.8390047386119,2019-07-03,205260.508280234
27.8769464321624,-81.2657761492976,2019-07-03,904847.519127926
29.1064035647193,-81.4883235542959,2019-07-03,71690.1352957106
29.5352735079721,-82.1444008011973,2019-07-03,352034.640080662
27.9906331691402,-81.8376478307218,2019-07-03,955000.062486457
27.0944773568127,-80.8100852778929,2019-07-03,49143.1963214887
26.9212139890609,-80.8393990597198,2019-07-03,16262.5782780047
28.8259961723709,-81.8698138974633,2019-07-03,133315.731506003
28.8532317588678,-81.7410903434044,2019-07-03,161019.843424841
26.7502795650114,-80.8502842283015,2019-07-03,352034.640080662
26.9384131965161,-80.6820926678925,2019-07-03,60978.3122713327
28.6765899023067,-81.6641106836588,2019-07-03,620268.033950498
27.3321755204931,-81.2618174290056,2019-07-03,620268.033950498
28.7974701866984,-81.6553560034067,2019-07-03,199798.121188704
29.4414508900738,-81.4927276838801,2019-07-03,73650.1100307054
26.7683189024127,-80.8073637198255,2019-07-03,342666.303765707
26.8848400585537,-80.6634810596061,2019-07-03,84283.6626216936
27.2342110217075,-81.3715764127705,2019-07-03,140704.957716374
26.7818765439356,-80.8149607565963,2019-07-03,67925.2741611093
28.609053352354,-81.6484098834918,2019-07-03,690932.14767879
27.1172005767724,-80.7438484168797,2019-07-03,99089.4459276117
26.9712935332636,-81.0013930304943,2019-07-03,729228.107784489
27.049004366321,-80.8391129985061,2019-07-03,156734.787709189
26.9355949256254,-80.6797921202582,2019-07-03,144551.765384891
27.1260411988956,-80.7451836865979,2019-07-03,140704.957716374
26.8835718138606,-80.6469279326752,2019-07-03,96452.4802741759
26.8244824039312,-80.8856716471789,2019-07-03,234895.88029449
28.6044744227335,-81.6056022865945,2019-07-03,690932.14767879
26.8434154077103,-80.6823701416576,2019-07-03,46562.4045696293
26.8217158993085,-80.6813633835224,2019-07-03,161019.843424841
26.8422701438502,-80.817983450981,2019-07-03,34608.3903057916
27.8748856018521,-81.2118709508931,2019-07-03,749164.862840259
27.096069352816,-80.7164808212166,2019-07-03,30242.0620405156
